# w_matsubara          00_re         00_im          01_re         01_im          02_re         02_im          03_re         03_im          05_re         05_im          06_re         06_im          07_re         07_im          0a_re         0a_im          0b_re         0b_im          0f_re         0f_im          11_re         11_im          12_re         12_im          14_re         14_im          15_re         15_im          16_re         16_im          17_re         17_im          19_re         19_im          1a_re         1a_im          1b_re         1b_im          1d_re         1d_im          1e_re         1e_im          55_re         55_im          56_re         56_im          5a_re         5a_im
 2.638938e+00   3.518327e-01 -4.579659e-01  -5.895227e-02  1.038380e-01   5.149999e-03 -3.440100e-02   4.281358e-03 -1.147410e-03  -1.707235e-02  3.525064e-02  -1.744743e-03 -2.127001e-03   6.569839e-04 -7.322740e-04   7.820877e-06  5.735969e-06   6.291544e-06  2.199527e-05  -2.165325e-05 -7.288902e-07   2.008204e-01 -2.181395e-01  -9.401919e-02  1.359023e-01  -2.043564e-02  3.239977e-02   3.120541e-02 -3.198881e-02  -9.191542e-03  1.760669e-02  -1.649717e-03 -2.534174e-03  -4.375914e-04  8.191979e-06   2.260169e-06 -1.050203e-05   2.095507e-05 -4.862573e-05   5.013659e-05 -1.542929e-04   4.367568e-06  3.802473e-06   1.235960e-02 -1.211240e-02   8.234672e-06  1.929415e-03  -1.562001e-06 -4.156201e-06  
 2.890265e+00   3.228245e-01 -4.442064e-01  -5.282952e-02  9.932265e-02   4.155419e-03 -3.166220e-02   3.552100e-03 -1.339819e-03  -1.510238e-02  3.350449e-02  -1.650231e-03 -1.777468e-03   4.965532e-04 -7.177872e-04   7.006443e-06  3.145537e-06   8.525069e-06  1.558734e-05  -1.647714e-05  2.659211e-06   1.852684e-01 -2.142332e-01  -8.504349e-02  1.312046e-01  -1.813676e-02  3.116500e-02   2.896036e-02 -3.152063e-02  -8.101242e-03  1.678644e-02  -1.616085e-03 -2.112410e-03  -3.894447e-04  6.039804e-05  -2.983277e-07 -8.769192e-06   6.618682e-06 -4.575870e-05   2.162743e-05 -1.408481e-04   3.935281e-06  1.770405e-06   1.151278e-02 -1.196789e-02   1.124162e-04  1.770268e-03  -2.013643e-06 -3.019514e-06  
 3.141593e+00   2.970081e-01 -4.308310e-01  -4.750341e-02  9.507314e-02   3.377091e-03 -2.927936e-02   2.947489e-03 -1.441080e-03  -1.340688e-02  3.188252e-02  -1.550272e-03 -1.489488e-03   3.671707e-04 -6.881860e-04   5.999893e-06  1.402022e-06   9.093129e-06  1.066966e-05  -1.232425e-05  4.303316e-06   1.712503e-01 -2.100175e-01  -7.716708e-02  1.266224e-01  -1.614776e-02  2.994827e-02   2.692056e-02 -3.100350e-02  -7.165115e-03  1.600936e-02  -1.555493e-03 -1.763744e-03  -3.432723e-04  9.851212e-05  -1.865263e-06 -7.024861e-06  -3.395079e-06 -4.077013e-05   5.800017e-07 -1.259171e-04   3.243907e-06  4.707262e-07   1.073921e-02 -1.180291e-02   1.942201e-04  1.623722e-03  -2.145637e-06 -2.094563e-06  
 3.392920e+00   2.739421e-01 -4.178689e-01  -4.285128e-02  9.107445e-02   2.764270e-03 -2.719337e-02   2.445198e-03 -1.479787e-03  -1.194145e-02  3.037416e-02  -1.449360e-03 -1.251384e-03   2.632638e-04 -6.500869e-04   4.990541e-06  2.670036e-07   8.755084e-06  7.005305e-06  -9.095040e-06  4.923537e-06   1.585868e-01 -2.055953e-01  -7.022953e-02  1.221838e-01  -1.442121e-02  2.876363e-02   2.506353e-02 -3.045061e-02  -6.358462e-03  1.527587e-02  -1.479313e-03 -1.475229e-03  -3.001610e-04  1.256342e-04  -2.738913e-06 -5.437936e-06  -1.007580e-05 -3.503736e-05  -1.459952e-05 -1.108714e-04   2.515509e-06 -3.052796e-07   1.003123e-02 -1.162218e-02   2.578250e-04  1.489240e-03  -2.088726e-06 -1.371996e-06  
 3.644247e+00   2.532615e-01 -4.053405e-01  -3.877278e-02  8.731253e-02   2.278988e-03 -2.535694e-02   2.027184e-03 -1.476012e-03  -1.067005e-02  2.897022e-02  -1.350429e-03 -1.053899e-03   1.801401e-04 -6.078456e-04   4.068129e-06 -4.416352e-07   7.969708e-06  4.338118e-06  -6.633835e-06  4.964635e-06   1.471237e-01 -2.010478e-01  -6.409790e-02  1.179070e-01  -1.291792e-02  2.762020e-02   2.336983e-02 -2.987272e-02  -5.661023e-03  1.458542e-02  -1.395184e-03 -1.236185e-03  -2.606387e-04  1.442280e-04  -3.143823e-06 -4.075709e-06  -1.427081e-05 -2.932658e-05  -2.523327e-05 -9.650125e-05   1.854157e-06 -7.249227e-07   9.382229e-03 -1.142963e-02   3.066323e-04  1.366151e-03  -1.929069e-06 -8.251647e-07  
 3.895575e+00   2.346610e-01 -3.932577e-01  -3.518499e-02  8.377388e-02   1.892596e-03 -2.373177e-02   1.678773e-03 -1.443922e-03  -9.563176e-03  2.766244e-02  -1.255331e-03 -8.896342e-04   1.139029e-04 -5.642980e-04   3.267518e-06 -8.579211e-07   7.006721e-06  2.437166e-06  -4.783402e-06  4.697443e-06   1.367271e-01 -1.964386e-01  -5.866111e-02  1.138025e-01  -1.160521e-02  2.652352e-02   2.182254e-02 -2.927860e-02  -5.056073e-03  1.393676e-02  -1.308192e-03 -1.037829e-03  -2.248791e-04  1.562443e-04  -3.243214e-06 -2.950464e-06  -1.666181e-05 -2.403418e-05  -3.239003e-05 -8.322674e-05   1.299339e-06 -9.125350e-07   8.786402e-03 -1.122853e-02   3.434170e-04  1.253711e-03  -1.721653e-06 -4.226878e-07  
 4.146902e+00   2.178827e-01 -3.816254e-01  -3.201886e-02  8.044545e-02   1.583310e-03 -2.228654e-02   1.387969e-03 -1.393537e-03  -8.596425e-03  2.644336e-02  -1.165166e-03 -7.526345e-04   6.134536e-05 -5.212536e-04   2.594572e-06 -1.078007e-06   6.018516e-06  1.110913e-06  -3.405828e-06  4.283887e-06   1.272806e-01 -1.918174e-01  -5.382577e-02  1.098750e-01  -1.045575e-02  2.547662e-02   2.040678e-02 -2.867532e-02  -4.529726e-03  1.332817e-02  -1.221665e-03 -8.729584e-04  -1.928367e-04  1.632234e-04  -3.152479e-06 -2.046818e-06  -1.777643e-05 -1.933707e-05  -3.691866e-05 -7.123571e-05   8.571473e-07 -9.560843e-07   8.238653e-03 -1.102159e-02   3.704473e-04  1.151149e-03  -1.500265e-06 -1.344950e-07  
 4.398230e+00   2.027073e-01 -3.704428e-01  -2.921646e-02  7.731458e-02   1.334459e-03 -2.099544e-02   1.144933e-03 -1.331938e-03  -7.749497e-03  2.530615e-02  -1.080519e-03 -6.380856e-04   1.984527e-05 -4.798280e-04   2.040927e-06 -1.169550e-06   5.085850e-06  2.078125e-07  -2.388073e-06  3.818302e-06   1.186821e-01 -1.872225e-01  -4.951287e-02  1.061255e-01  -9.446508e-03  2.448073e-02   1.910942e-02 -2.806859e-02  -4.070402e-03  1.275769e-02  -1.137723e-03 -7.356706e-04  -1.643362e-04  1.663770e-04  -2.951189e-06 -1.337364e-06  -1.801222e-05 -1.528577e-05  -3.948472e-05 -6.057359e-05   5.179660e-07 -9.155147e-07   7.734458e-03 -1.081107e-02   3.895787e-04  1.057691e-03  -1.284620e-06  6.564487e-08  
 4.649557e+00   1.889472e-01 -3.597049e-01  -2.672892e-02  7.436907e-02   1.133205e-03 -1.983702e-02   9.415760e-04 -1.264112e-03  -7.005396e-03  2.424451e-02  -1.001624e-03 -5.420762e-04  -1.273267e-05 -4.406695e-04   1.592218e-06 -1.179387e-06   4.246667e-06 -3.884852e-07  -1.640958e-06  3.353523e-06   1.108420e-01 -1.826834e-01  -4.565528e-02  1.025517e-01  -8.558044e-03  2.353577e-02   1.791886e-02 -2.746295e-02  -3.668401e-03  1.222318e-02  -1.057654e-03 -6.211320e-04  -1.391304e-04  1.666562e-04  -2.692848e-06 -7.912982e-07  -1.766246e-05 -1.186159e-05  -4.060479e-05 -5.120176e-05   2.661273e-07 -8.303255e-07   7.269785e-03 -1.059879e-02   4.023305e-04  9.725846e-04  -1.085323e-06  1.994108e-07  
 4.900885e+00   1.764408e-01 -3.494028e-01  -2.451480e-02  7.159716e-02   9.696114e-04 -1.879335e-02   7.712324e-04 -1.193539e-03  -6.349825e-03  2.325266e-02  -9.284766e-04 -4.614176e-04  -3.812199e-05 -4.041133e-04   1.232496e-06 -1.139443e-06   3.514073e-06 -7.654626e-07  -1.095772e-06  2.917241e-06   1.036813e-01 -1.782225e-01  -4.219570e-02  9.914955e-02  -7.773878e-03  2.264081e-02   1.682477e-02 -2.686203e-02  -3.315571e-03  1.172245e-02  -9.821784e-04 -5.253833e-04  -1.169390e-04  1.648047e-04  -2.412407e-06 -3.788913e-07  -1.693968e-05 -9.011073e-06  -4.067645e-05 -4.303508e-05   8.491067e-08 -7.256517e-07   6.841032e-03 -1.038627e-02   4.099471e-04  8.951108e-04  -9.072483e-07  2.840997e-07  
 5.152212e+00   1.650483e-01 -3.395255e-01  -2.253883e-02  6.898763e-02   8.359462e-04 -1.784938e-02   6.283989e-04 -1.122624e-03  -5.770704e-03  2.232523e-02  -8.609209e-04 -3.935016e-04  -5.772715e-05 -3.702883e-04   9.464593e-07 -1.071138e-06   2.887407e-06 -9.878802e-07  -7.003778e-07  2.522211e-06   9.713049e-02 -1.738561e-01  -3.908506e-02  9.591342e-02  -7.080002e-03  2.179428e-02   1.581795e-02 -2.626866e-02  -3.005038e-03  1.125333e-02  -9.116324e-04 -4.451794e-04  -9.747210e-05  1.614024e-04  -2.131882e-06 -7.356173e-08  -1.599521e-05 -6.666387e-06  -4.000334e-05 -3.596580e-05  -4.109125e-08 -6.168311e-07   6.444963e-03 -1.017473e-02   4.134477e-04  8.245914e-04  -7.517827e-07  3.331688e-07  
 5.403539e+00   1.546482e-01 -3.300598e-01  -2.077088e-02  6.652980e-02   7.261670e-04 -1.699240e-02   5.085248e-04 -1.052993e-03  -5.257787e-03  2.145728e-02  -7.987041e-04 -3.361883e-04  -7.268440e-05 -3.391893e-04   7.204493e-07 -9.885776e-07   2.358940e-06 -1.103085e-06  -4.156161e-07  2.172546e-06   9.112777e-02 -1.695962e-01  -3.628116e-02  9.283681e-02  -6.464478e-03  2.099426e-02   1.489019e-02 -2.568504e-02  -2.730987e-03  1.081370e-02  -8.460946e-04 -3.778584e-04  -8.044613e-05  1.568992e-04  -1.864433e-06  1.473967e-07  -1.493495e-05 -4.756899e-06  -3.881566e-05 -2.987834e-05  -1.250447e-07 -5.126937e-07   6.078674e-03 -9.965144e-03   4.136670e-04  7.603944e-04  -6.183033e-07  3.568872e-07  
