#
0.314159 3.01914e-06 -1.30758
0.942478 -2.8362e-06 -1.27071
1.5708 -3.24921e-06 -1.1507
2.19911 -2.75117e-06 -1.03593
2.82743 -1.89098e-06 -0.925032
3.45575 -1.1486e-06 -0.834393
4.08407 -8.66307e-07 -0.753762
4.71239 -5.00747e-07 -0.685234
5.34071 9.10721e-09 -0.627718
5.96903 1.43635e-07 -0.578613
6.59734 1.35815e-07 -0.535073
7.22566 2.76884e-07 -0.496758
7.85398 3.61877e-07 -0.462818
8.4823 3.43409e-07 -0.433241
9.11062 2.97602e-07 -0.406976
9.73894 3.98775e-07 -0.384049
10.3673 3.59034e-07 -0.363134
10.9956 2.31571e-07 -0.3442
11.6239 2.46363e-07 -0.327371
12.2522 2.81665e-07 -0.31175
12.8805 3.78572e-07 -0.298572
13.5088 2.27644e-07 -0.285999
14.1372 2.33864e-07 -0.274239
14.7655 3.04566e-07 -0.263149
15.3938 2.87611e-07 -0.25294
16.0221 1.37462e-07 -0.243855
16.6504 2.55336e-07 -0.235197
17.2788 1.81993e-07 -0.226355
17.9071 1.75733e-07 -0.218599
18.5354 1.31409e-07 -0.211439
19.1637 1.86203e-07 -0.204683
19.792 1.34647e-07 -0.198449
20.4204 1.55558e-07 -0.192517
21.0487 6.85677e-08 -0.187291
21.677 2.0372e-07 -0.181849
22.3053 1.51082e-07 -0.176779
22.9336 8.67388e-08 -0.172341
23.5619 1.06036e-07 -0.167822
24.1903 1.2975e-07 -0.163325
24.8186 9.23014e-08 -0.159525
25.4469 1.04792e-07 -0.155664
26.0752 8.98953e-08 -0.151896
26.7035 1.11813e-07 -0.148416
27.3319 9.1471e-08 -0.14501
27.9602 8.45678e-08 -0.141877
28.5885 1.0889e-07 -0.138705
29.2168 1.15753e-07 -0.1357
29.8451 6.4371e-08 -0.133083
30.4734 8.85931e-08 -0.130403
31.1018 8.99454e-08 -0.127631
31.7301 5.83971e-08 -0.125207
32.3584 6.88168e-08 -0.122799
